Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-10-04,16.8512,16.8868,16.3341,16.4352,1765708.644816
2005-10-05,16.2272,16.2618,16.0548,16.1203,2806431.6877549
2005-10-06,15.6687,15.9123,15.3913,15.4616,3425705.907502
2005-10-07,15.3913,15.9123,15.3557,15.7765,1944423.5817811
2005-10-10,15.8458,16.3986,15.8458,16.1203,1503928.6824419
2005-10-11,16.3341,16.4708,16.2272,16.3341,2004864.0577641
2005-10-12,16.2272,16.2984,15.9479,16.0548,1665700.3895712
2005-10-13,15.9479,15.9479,15.4973,15.634,2489073.2377586
2005-10-14,15.4279,15.634,15.011,15.4616,2962565.6898843
2005-10-17,15.6687,15.7053,15.3239,15.4279,1245054.2825268
2005-10-18,15.6687,15.7409,15.4973,15.634,3194551.6949636
2005-10-19,15.3557,15.4973,15.1486,15.3239,2708644.6612806
2005-10-20,15.6032,15.8458,15.5329,15.7765,3620860.4296309
2005-10-21,15.634,15.7053,15.4973,15.5675,3153049.2970953
2005-10-24,15.5329,16.2272,15.5329,16.1925,3355034.6947979
2005-10-25,16.2272,16.3341,15.9836,16.1203,2013316.9807148
2005-10-26,16.1559,16.1925,15.6032,15.9123,2209725.9415322
2005-10-27,15.4616,15.7765,15.3913,15.634,1906919.1880111
2005-10-28,15.4616,16.0548,15.3913,16.0548,1686640.5850628
2005-10-31,16.1559,16.2272,16.0192,16.1559,944167.60941548
2005-11-02,16.1925,16.7857,16.1925,16.7857,3017215.8098017
2005-11-03,16.9927,17.063,16.6432,16.8194,1886504.4444867
2005-11-04,16.9215,17.063,16.7135,17.063,1209783.5788387
2005-11-07,17.1642,17.6514,16.9215,17.6514,2463239.9006277
2005-11-08,17.3731,17.5503,17.2701,17.2701,1130834.9399871
2005-11-09,17.4078,17.4078,17.2007,17.3066,983436.31720192
2005-11-10,17.3731,17.5137,16.7857,16.9215,1354570.5184272
2005-11-14,17.2701,17.5137,17.0939,17.0939,1487866.0519503
2005-11-15,17.3375,17.4434,17.0939,17.2007,1565485.4842445
2005-11-16,17.3731,17.8941,17.2701,17.479,1383563.8364597
2005-11-17,17.7217,18.3091,17.7217,18.1724,3491119.4852062
2005-11-18,18.4507,18.522,17.9297,17.9297,1404795.8343283
2005-11-21,18.1011,18.3091,17.9297,18.1724,898759.62884223
2005-11-22,18.3091,18.3813,17.6158,17.793,1032750.9189227
2005-11-23,17.7217,17.7217,17.3066,17.4434,3433578.3410265
2005-11-24,17.479,17.6861,17.1642,17.2354,1278975.0108051
2005-11-25,17.4434,17.5137,17.2354,17.5137,1192902.6555602
2005-11-28,17.8248,18.2081,17.6514,18.0665,1625619.6196536
2005-11-29,18.1724,18.7964,17.9645,18.7646,1544604.4799824
2005-11-30,18.7646,19.0747,18.6944,18.832,989641.01187398
2005-12-01,18.9024,19.2866,18.9024,19.146,1594450.7643261
2005-12-02,19.3887,19.5611,19.1807,19.4233,1528125.433999
2005-12-05,19.4946,19.875,19.2519,19.3887,1458430.3573604
2005-12-06,19.3887,19.458,18.7964,19.0073,2265432.1575972
2005-12-07,19.04,19.3531,19.04,19.3165,679652.38917259
